1;Lámina;Kilométrico;JSQ4B0;83000.00
2;Colbón;Bic;PKMXV1;124000.00
3;Color;Faber-Castell;J2S3SD;137500.00
4;Cuaderno;Bic;JC454Z;189000.00
5;Lámina;Pelikan;6LKBWZ;166500.00
6;Lámina;Bic;/VSXZ5;60000.00
7;Hojas;Paper-Mate;LG/CJ8;54500.00
8;Plumón;Condor;TJFQ-7;178500.00
9;Hojas;Bic;X87VA5;101000.00
10;Lámina;Kilométrico;6PE/0T;99000.00
11;Lápiz;Pelikan;6W1B74;103000.00
12;Esfero;Norma;KBWK0L;69500.00
13;Borrador;Pelikan;DS5WZY;195500.00
14;Block;Norma;5TJMBO;198500.00
15;Pincel;Condor;YL03G9;50500.00
16;Colbón;Kilométrico;EMPUUT;145500.00
17;Esfero;Paper-Mate;2CY5CB;45500.00
18;Borrador;Kilométrico;KY/9KB;55000.00
19;Hojas;Paper-Mate;49AXU4;134500.00
20;Lámina;Kilométrico;FC-S/B;196500.00
21;Libro;Faber-Castell;OS8R16;198000.00
22;Color;Bic;C52CQJ;59500.00
23;Color;Offi-Esco;C6KTKT;43500.00
24;Lámina;Bic;BVZQAM;195000.00
25;Carpeta;Condor;FF73YA;75500.00
26;Borrador;Faber-Castell;73PGOG;131000.00
27;Pincel;Offi-Esco;UV7HQG;85000.00
28;Pincel;Offi-Esco;/MWGD7;198000.00
29;Pincel;Pelikan;J8A9KA;94000.00
30;Colbón;Condor;9X7H4M;180000.00
31;Corrector;Offi-Esco;CZRTV8;134000.00
32;Borrador;Paper-Mate;LTRGGY;88500.00
33;Esfero;Faber-Castell;HK9Y5W;184500.00
34;Esfero;Xerox;HIJ8L7;123500.00
35;Pincel;Offi-Esco;FSE1QB;149000.00
36;Plumón;Norma;VUGB62;75500.00
37;Lápiz;Paper-Mate;FFUXXU;110000.00
38;Cuaderno;Offi-Esco;2C7IZU;61000.00
39;Block;Kilométrico;0FX-8D;169000.00
40;Cuaderno;Pelikan;D6BH/6;136000.00
41;Cuaderno;Pelikan;-KWOOL;129000.00
42;Lámina;Faber-Castell;WCXM6A;161500.00
43;Corrector;Bic;SH7G2U;133000.00
44;Cuaderno;Bic;GOD0YV;132000.00
45;Corrector;Faber-Castell;GEVBEM;193000.00
46;Libro;Offi-Esco;CR00RU;74000.00
47;Colbón;Paper-Mate;0JH21J;143000.00
48;Cuaderno;Norma;2WF220;191500.00
49;Hojas;Xerox;5G2LH4;48500.00
50;Borrador;Faber-Castell;ZFXKU1;67000.00
51;Color;Paper-Mate;WEDAPA;139000.00
52;Block;Norma;B9P/2E;197000.00
53;Esfero;Faber-Castell;LG1D0T;65500.00
54;Plumón;Offi-Esco;4I1EYI;99500.00
55;Cuaderno;Bic;GWUT-L;44000.00
56;Plumón;Bic;RZCHLS;140500.00
57;Lámina;Pelikan;LIDL5Z;135500.00
58;Carpeta;Faber-Castell;1ZD5M/;114500.00
59;Color;Kilométrico;MUHHC9;169000.00
60;Carpeta;Xerox;CMYBTB;100000.00
61;Colbón;Paper-Mate;KWRW6H;71000.00
62;Libro;Xerox;OKBD01;121500.00
